unique_trs_id,Latitude,Longitude,BatteryisCharging,Battery Percentage,CO2,Preasure Hg,Humidity %,Temperature C,Speed KM,Date,Time
-Lucq4yCnvQSx4Dqcogu,25.04057312,55.12895191,,,,,,,,,,
-Lug8RecqwmZMrSjvpss,25.04370117,55.11863675,,,,,,,,,,
-Lug8TwtDzYlmYEMu5r1,25.04364014,55.11873735,,,,,,,,,,
-Lug8WGzVZfjrDwoyKKb,25.04367065,55.11874105,,,,,,,,,,
-LurtrcPoRNNtMQMOxTR,25.0480957,55.12334833,,,,,,,,,,
-LuwEMtW8FqDMm4ZlRt3,25.04060364,55.12888732,,,,,,,,,,
-Lv-RKGGtFnWAfWhKJaL,25.26473999,55.30392051,,,,,,,,,,
-Lv0pJ8zo71W90GdV0X_,25.04206848,55.11938671,,,,,,,,,,
-Lv0y7Xk_wt5I8iXygmb,,,False,97.00000286102295,,,,,,,,
-LvHDMNihF2FE2NSYa67,25.11172485,55.16804902,,,,,,,,,,
-Lwlz4JAfahveckr6JaC,25.02909851,55.10758302,,,,,,,,,,
-LurttfrY0i8kPYuWzYA,25.0480957,55.12334833,,,,,,,,,,
-LusN-TA6R3i3JO6JjKc,25.04847344,55.1235324,,,,,,,,,,
-LuvaeFcBWnGMIRrDUbR,25.04241943,55.11815101,,,,,,,,,,
-LvGMZqNIMTtbg7jvIMV,25.14448974,55.19468252,,,,,,,,,,
-LvGNPgzEeKcX3Z84h3q,25.15536499,55.20404913,,,,,,,,,,
-LvGVJ3F2wfcpsR_h9n5,,,False,88.99999856948853,,,,,,,,
-LwbUf6a4cgsy6cTZyb2,25.0405426,55.12906552,,,,,,,,,,
-Lwlz3KD8Vvbu_7y9oHw,,,False,56.99999928474426,,,,,,,,
-Lv-RJm7Z37EhbCkE5m7,25.26474767,55.30392051,,,,,,,,,,
-Lv-nOFa_oDXItNNebxj,25.26420593,55.30594365,,,,,,,,,,
-LvGNCT8AsYHAwg9ML8h,25.15103663,55.20023922,,,,,,,,,,
-LvHDqCoN3yq0rc8Uyka,25.09562683,55.15259623,,,,,,,,,,
-LwNxH709Ou-8EIPZt_l,25.15710449,55.20544889,,,,,,,,,,
-LuwEF4tzO8_Enl_S2U5,25.0406189,55.12883915,,,,,,,,,,
-Lv-RKgdx2j-8NaSawQv,25.26473999,55.30392051,,,,,,,,,,
-Lv-nNQE8rOujoJlYa4Z,25.26421668,55.30594365,,,,,,,,,,
-Lv0y9e9ecrMAwEvq7W5,25.2088659,55.26324967,,,,,,,,,,
-LvGN8GYa0w4XByDIhRE,25.14888,55.19841587,,,,,,,,,,
-LvHCi3KvNN-Bj5stwjN,,,False,67.00000166893005,,,,,,,,
-LvHCzcCDFr0mzjSKS7A,25.12382507,55.17982442,,,,,,,,,,
-LvHDi0MSPMsl7yuMI_h,25.09877014,55.15562662,,,,,,,,,,
-LuvIKEr1wetrIjqXYDQ,25.04222107,55.11831143,,,,,,,,,,
-LuvIRTsu6t19YLeSgKZ,,,False,62.00000047683716,,,,,,,,
-LuvagxaSeO5O8eBGDbj,25.04225159,55.11827375,,,,,,,,,,
-LuwEE6Ikzv5lxGQs6p5,,,False,93.00000071525574,,,,,,,,
-LuwEKAGvcjNxWI1dPI6,25.04060364,55.12888732,,,,,,,,,,
-Lv0yAfv5wvDbYXzMFV3,25.20888497,55.26320432,,,,,,,,,,
-LvHCveYc-IaLC1502yb,25.12493896,55.18092882,,,,,,,,,,
-LvHDa879BYCIcQdBlak,25.10287112,55.15959537,,,,,,,,,,
-LwXy9kVA0US6KeV3tnD,25.04060364,55.1290343,,,,,,,,,,
-Lwbr4qb2UaRPtJqu9_T,25.07714844,55.12485934,,,,,,,,,,
-LwoTx8y1hORhLrLlGFz,,,False,61.000001430511475,,,,,,,,
-LuU0DECEgfNUVsIGvAB,25.04057312,55.12904595,,,,,,,,,,
-LuU0FK21HJZYBvkzjLu,25.04055786,55.12893402,,,,,,,,,,
-LuU3T3QSqYnWYRjzMcb,25.04060364,55.12905657,,,,,,,,,,
-LuU3UhEKl2OS5h06lpy,25.04063416,55.12896391,,,,,,,,,,
-LuU3WCePEDR3qD55jWm,25.04029846,55.12846651,,,,,,,,,,
-LuU3XA2hDGIt6QYYoQo,25.0406189,55.12881988,,,,,,,,,,
-LuU3ZeKZ5LuOv5yzhaR,25.04065472,55.12886195,,,,,,,,,,
-LuWLx3HBJYnVHS42ag4,25.04057312,55.1289509,,,,,,,,,,
